Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-10-09 00:00,2.421,0.036,1,0,0,0,p
2018-10-09 00:06,2.454,0.036,1,0,0,0,p
2018-10-09 00:12,2.461,0.036,1,0,0,0,p
2018-10-09 00:18,2.444,0.036,1,0,0,0,p
2018-10-09 00:24,2.431,0.036,0,0,0,0,p
2018-10-09 00:30,2.421,0.039,1,0,0,0,p
2018-10-09 00:36,2.411,0.056,1,0,0,0,p
2018-10-09 00:42,2.375,0.036,1,0,0,0,p
2018-10-09 00:48,2.388,0.033,1,0,0,0,p
2018-10-09 00:54,2.365,0.033,1,0,0,0,p
2018-10-09 01:00,2.365,0.052,0,0,0,0,p
2018-10-09 01:06,2.346,0.046,1,0,0,0,p
2018-10-09 01:12,2.352,0.049,1,0,0,0,p
2018-10-09 01:18,2.349,0.039,1,0,0,0,p
2018-10-09 01:24,2.388,0.036,1,0,0,0,p
2018-10-09 01:30,2.382,0.036,1,0,0,0,p
2018-10-09 01:36,2.448,0.030,1,0,0,0,p
2018-10-09 01:42,2.431,0.030,0,0,0,0,p
2018-10-09 01:48,2.467,0.039,1,0,0,0,p
2018-10-09 01:54,2.487,0.089,0,0,0,0,p
2018-10-09 02:00,2.536,0.052,1,0,0,0,p
2018-10-09 02:06,2.559,0.043,1,0,0,0,p
2018-10-09 02:12,2.592,0.033,1,0,0,0,p
2018-10-09 02:18,2.598,0.030,1,0,0,0,p
2018-10-09 02:24,2.602,0.033,1,0,0,0,p
2018-10-09 02:30,2.608,0.052,0,0,0,0,p
2018-10-09 02:36,2.608,0.030,1,0,0,0,p
2018-10-09 02:42,2.618,0.033,1,0,0,0,p
2018-10-09 02:48,2.631,0.039,1,0,0,0,p
2018-10-09 02:54,2.612,0.030,1,0,0,0,p
2018-10-09 03:00,2.605,0.043,1,0,0,0,p
2018-10-09 03:06,2.602,0.033,0,0,0,0,p
2018-10-09 03:12,2.585,0.033,1,0,0,0,p
2018-10-09 03:18,2.598,0.030,1,0,0,0,p
2018-10-09 03:24,2.612,0.036,1,0,0,0,p
2018-10-09 03:30,2.595,0.059,1,0,0,0,p
2018-10-09 03:36,2.602,0.066,0,0,0,0,p
2018-10-09 03:42,2.608,0.049,0,0,0,0,p
2018-10-09 03:48,2.605,0.049,0,0,0,0,p
2018-10-09 03:54,2.602,0.039,1,0,0,0,p
2018-10-09 04:00,2.635,0.033,1,0,0,0,p
2018-10-09 04:06,2.651,0.033,1,0,0,0,p
2018-10-09 04:12,2.664,0.030,1,0,0,0,p
2018-10-09 04:18,2.697,0.030,1,0,0,0,p
2018-10-09 04:24,2.677,0.036,1,0,0,0,p
2018-10-09 04:30,2.713,0.030,1,0,0,0,p
2018-10-09 04:36,2.690,0.033,1,0,0,0,p
2018-10-09 04:42,2.713,0.033,1,0,0,0,p
2018-10-09 04:48,2.697,0.033,1,0,0,0,p
2018-10-09 04:54,2.710,0.026,1,0,0,0,p
2018-10-09 05:00,2.697,0.036,1,0,0,0,p
2018-10-09 05:06,2.703,0.039,1,0,0,0,p
2018-10-09 05:12,2.684,0.030,1,0,0,0,p
2018-10-09 05:18,2.694,0.033,1,0,0,0,p
2018-10-09 05:24,2.671,0.030,1,0,0,0,p
2018-10-09 05:30,2.667,0.030,1,0,0,0,p
2018-10-09 05:36,2.648,0.033,1,0,0,0,p
2018-10-09 05:42,2.644,0.036,1,0,0,0,p
2018-10-09 05:48,2.638,0.033,1,0,0,0,p
2018-10-09 05:54,2.625,0.033,1,0,0,0,p
2018-10-09 06:00,2.628,0.033,1,0,0,0,p
2018-10-09 06:06,2.628,0.033,1,0,0,0,p
2018-10-09 06:12,2.625,0.052,0,0,0,0,p
2018-10-09 06:18,2.621,0.043,1,0,0,0,p
2018-10-09 06:24,2.608,0.036,0,0,0,0,p
2018-10-09 06:30,2.618,0.039,1,0,0,0,p
2018-10-09 06:36,2.595,0.039,1,0,0,0,p
2018-10-09 06:42,2.589,0.033,1,0,0,0,p
2018-10-09 06:48,2.562,0.030,1,0,0,0,p
2018-10-09 06:54,2.559,0.033,1,0,0,0,p
2018-10-09 07:00,2.546,0.033,1,0,0,0,p
2018-10-09 07:06,2.539,0.036,1,0,0,0,p
2018-10-09 07:12,2.523,0.030,1,0,0,0,p
2018-10-09 07:18,2.500,0.030,1,0,0,0,p
2018-10-09 07:24,2.497,0.030,1,0,0,0,p
2018-10-09 07:30,2.461,0.030,1,0,0,0,p
2018-10-09 07:36,2.448,0.033,1,0,0,0,p
2018-10-09 07:42,2.415,0.033,1,0,0,0,p
2018-10-09 07:48,2.408,0.033,1,0,0,0,p
2018-10-09 07:54,2.375,0.036,0,0,0,0,p
2018-10-09 08:00,2.379,0.036,1,0,0,0,p
2018-10-09 08:06,2.359,0.033,0,0,0,0,p
2018-10-09 08:12,2.343,0.033,1,0,0,0,p
2018-10-09 08:18,2.356,0.030,1,0,0,0,p
2018-10-09 08:24,2.349,0.036,1,0,0,0,p
2018-10-09 08:30,2.346,0.033,1,0,0,0,p
2018-10-09 08:36,2.346,0.036,1,0,0,0,p
2018-10-09 08:42,2.346,0.043,1,0,0,0,p
2018-10-09 08:48,2.349,0.046,1,0,0,0,p
2018-10-09 08:54,2.339,0.039,1,0,0,0,p
2018-10-09 09:00,2.349,0.033,1,0,0,0,p
2018-10-09 09:06,2.323,0.033,1,0,0,0,p
2018-10-09 09:12,2.323,0.039,1,0,0,0,p
2018-10-09 09:18,2.306,0.033,1,0,0,0,p
2018-10-09 09:24,2.313,0.039,1,0,0,0,p
2018-10-09 09:30,2.303,0.036,1,0,0,0,p
2018-10-09 09:36,2.300,0.046,1,0,0,0,p
2018-10-09 09:42,2.300,0.036,1,0,0,0,p
2018-10-09 09:48,2.300,0.039,1,0,0,0,p
2018-10-09 09:54,2.303,0.036,1,0,0,0,p
2018-10-09 10:00,2.306,0.036,1,0,0,0,p
2018-10-09 10:06,2.267,0.039,0,0,0,0,p
2018-10-09 10:12,2.267,0.036,1,0,0,0,p
2018-10-09 10:18,2.228,0.039,1,0,0,0,p
2018-10-09 10:24,2.234,0.039,1,0,0,0,p
2018-10-09 10:30,2.215,0.033,1,0,0,0,p
2018-10-09 10:36,2.224,0.036,1,0,0,0,p
2018-10-09 10:42,2.215,0.036,1,0,0,0,p
2018-10-09 10:48,2.231,0.039,1,0,0,0,p
2018-10-09 10:54,2.247,0.039,1,0,0,0,p
2018-10-09 11:00,2.254,0.030,1,0,0,0,p
2018-10-09 11:06,2.257,0.039,1,0,0,0,p
2018-10-09 11:12,2.264,0.039,1,0,0,0,p
2018-10-09 11:18,2.290,0.036,1,0,0,0,p
2018-10-09 11:24,2.287,0.036,1,0,0,0,p
2018-10-09 11:30,2.300,0.043,1,0,0,0,p
2018-10-09 11:36,2.320,0.039,0,0,0,0,p
2018-10-09 11:42,2.310,0.039,1,0,0,0,p
2018-10-09 11:48,2.333,0.036,1,0,0,0,p
2018-10-09 11:54,2.339,0.039,1,0,0,0,p
2018-10-09 12:00,2.362,0.039,1,0,0,0,p
2018-10-09 12:06,2.365,0.030,1,0,0,0,p
2018-10-09 12:12,2.385,0.030,1,0,0,0,p
2018-10-09 12:18,2.385,0.036,1,0,0,0,p
2018-10-09 12:24,2.408,0.039,1,0,0,0,p
2018-10-09 12:30,2.408,0.036,1,0,0,0,p
2018-10-09 12:36,2.428,0.043,1,0,0,0,p
2018-10-09 12:42,2.418,0.046,1,0,0,0,p
2018-10-09 12:48,2.425,0.046,1,0,0,0,p
2018-10-09 12:54,2.434,0.049,1,0,0,0,p
2018-10-09 13:00,2.441,0.066,1,0,0,0,p
2018-10-09 13:06,2.431,0.049,1,0,0,0,p
2018-10-09 13:12,2.457,0.036,1,0,0,0,p
2018-10-09 13:18,2.467,0.043,0,0,0,0,p
2018-10-09 13:24,2.497,0.043,1,0,0,0,p
2018-10-09 13:30,2.493,0.033,0,0,0,0,p
2018-10-09 13:36,2.500,0.033,1,0,0,0,p
2018-10-09 13:42,2.520,0.039,1,0,0,0,p
2018-10-09 13:48,2.530,0.039,1,0,0,0,p
2018-10-09 13:54,2.533,0.043,1,0,0,0,p
2018-10-09 14:00,2.559,0.036,0,0,0,0,p
2018-10-09 14:06,2.556,0.030,1,0,0,0,p
2018-10-09 14:12,2.582,0.039,1,0,0,0,p
2018-10-09 14:18,2.598,0.036,1,0,0,0,p
2018-10-09 14:24,2.618,0.036,1,0,0,0,p
2018-10-09 14:30,2.628,0.033,0,0,0,0,p
2018-10-09 14:36,2.628,0.039,1,0,0,0,p
2018-10-09 14:42,2.657,0.036,1,0,0,0,p
2018-10-09 14:48,2.651,0.039,1,0,0,0,p
2018-10-09 14:54,2.680,0.062,1,0,0,0,p
2018-10-09 15:00,2.680,0.046,1,0,0,0,p
2018-10-09 15:06,2.703,0.046,1,0,0,0,p
2018-10-09 15:12,2.723,0.039,1,0,0,0,p
2018-10-09 15:18,2.723,0.039,1,0,0,0,p
2018-10-09 15:24,2.759,0.049,1,0,0,0,p
2018-10-09 15:30,2.776,0.039,0,0,0,0,p
2018-10-09 15:36,2.822,0.046,1,0,0,0,p
2018-10-09 15:42,2.825,0.036,1,0,0,0,p
2018-10-09 15:48,2.835,0.039,1,0,0,0,p
2018-10-09 15:54,2.854,0.043,1,0,0,0,p
2018-10-09 16:00,2.854,,1,0,0,0,p
2018-10-09 16:06,2.877,0.069,0,0,0,0,p
2018-10-09 16:12,2.897,0.052,1,0,0,0,p
2018-10-09 16:18,2.913,0.046,1,0,0,0,p
2018-10-09 16:24,2.907,0.036,1,0,0,0,p
2018-10-09 16:30,2.923,0.043,1,0,0,0,p
2018-10-09 16:36,2.923,0.075,1,0,0,0,p
2018-10-09 16:42,2.940,0.052,1,0,0,0,p
2018-10-09 16:48,2.927,0.043,1,0,0,0,p
2018-10-09 16:54,2.956,0.036,1,0,0,0,p
2018-10-09 17:00,2.949,0.039,1,0,0,0,p
2018-10-09 17:06,2.969,0.043,0,0,0,0,p
2018-10-09 17:12,2.953,0.043,1,0,0,0,p
2018-10-09 17:18,2.959,0.039,1,0,0,0,p
2018-10-09 17:24,2.963,0.036,1,0,0,0,p
2018-10-09 17:30,2.959,0.039,1,0,0,0,p
2018-10-09 17:36,2.986,0.039,1,0,0,0,p
2018-10-09 17:42,2.982,0.036,1,0,0,0,p
2018-10-09 17:48,2.992,0.036,1,0,0,0,p
2018-10-09 17:54,2.992,0.030,1,0,0,0,p
2018-10-09 18:00,3.025,0.036,1,0,0,0,p
2018-10-09 18:06,3.015,0.043,1,0,0,0,p
2018-10-09 18:12,3.018,0.033,1,0,0,0,p
2018-10-09 18:18,3.022,0.030,1,0,0,0,p
2018-10-09 18:24,3.031,0.030,1,0,0,0,p
2018-10-09 18:30,3.028,0.036,1,0,0,0,p
2018-10-09 18:36,3.025,0.043,1,0,0,0,p
2018-10-09 18:42,3.035,0.039,1,0,0,0,p
2018-10-09 18:48,3.035,0.043,1,0,0,0,p
2018-10-09 18:54,3.048,0.036,1,0,0,0,p
2018-10-09 19:00,3.035,0.043,1,0,0,0,p
2018-10-09 19:06,3.041,0.056,1,0,0,0,p
2018-10-09 19:12,3.045,0.049,1,0,0,0,p
2018-10-09 19:18,3.045,0.052,1,0,0,0,p
2018-10-09 19:24,3.058,0.049,1,0,0,0,p
2018-10-09 19:30,3.058,0.049,1,0,0,0,p
2018-10-09 19:36,3.048,0.052,1,0,0,0,p
2018-10-09 19:42,3.045,0.049,1,0,0,0,p
2018-10-09 19:48,3.018,0.052,0,0,0,0,p
2018-10-09 19:54,3.015,0.039,1,0,0,0,p
2018-10-09 20:00,3.018,0.046,1,0,0,0,p
2018-10-09 20:06,2.999,0.046,1,0,0,0,p
2018-10-09 20:12,3.009,0.043,1,0,0,0,p
2018-10-09 20:18,3.005,0.039,1,0,0,0,p
2018-10-09 20:24,2.999,0.043,1,0,0,0,p
2018-10-09 20:30,3.002,0.033,1,0,0,0,p
2018-10-09 20:36,3.002,0.036,1,0,0,0,p
2018-10-09 20:42,2.992,0.043,1,0,0,0,p
2018-10-09 20:48,2.999,0.033,1,0,0,0,p
2018-10-09 20:54,3.009,0.039,1,0,0,0,p
2018-10-09 21:00,3.005,0.043,0,0,0,0,p
2018-10-09 21:06,2.976,0.033,1,0,0,0,p
2018-10-09 21:12,2.995,0.046,0,0,0,0,p
2018-10-09 21:18,2.959,0.043,1,0,0,0,p
2018-10-09 21:24,2.969,0.043,1,0,0,0,p
2018-10-09 21:30,2.966,0.033,1,0,0,0,p
2018-10-09 21:36,2.966,0.039,1,0,0,0,p
2018-10-09 21:42,2.956,0.046,1,0,0,0,p
2018-10-09 21:48,2.959,0.046,1,0,0,0,p
2018-10-09 21:54,2.949,0.033,1,0,0,0,p
2018-10-09 22:00,2.972,0.036,1,0,0,0,p
2018-10-09 22:06,2.943,0.039,1,0,0,0,p
2018-10-09 22:12,2.969,0.039,1,0,0,0,p
2018-10-09 22:18,2.986,0.039,1,0,0,0,p
2018-10-09 22:24,2.976,0.036,1,0,0,0,p
2018-10-09 22:30,2.999,0.043,1,0,0,0,p
2018-10-09 22:36,2.992,0.043,1,0,0,0,p
2018-10-09 22:42,2.992,0.033,1,0,0,0,p
2018-10-09 22:48,3.015,0.036,1,0,0,0,p
2018-10-09 22:54,3.005,0.043,1,0,0,0,p
2018-10-09 23:00,3.009,0.039,1,0,0,0,p
2018-10-09 23:06,3.018,0.036,1,0,0,0,p
2018-10-09 23:12,3.018,0.043,1,0,0,0,p
2018-10-09 23:18,3.031,0.046,1,0,0,0,p
2018-10-09 23:24,3.061,0.049,1,0,0,0,p
2018-10-09 23:30,3.064,0.043,0,0,0,0,p
2018-10-09 23:36,3.081,0.056,1,0,0,0,p
2018-10-09 23:42,3.123,0.039,1,0,0,0,p
2018-10-09 23:48,3.136,0.046,1,0,0,0,p
2018-10-09 23:54,3.146,0.049,1,0,0,0,p
2018-10-10 00:00,3.176,0.056,1,0,0,0,p
2018-10-10 00:06,3.202,0.056,1,0,0,0,p
2018-10-10 00:12,3.215,0.102,0,0,0,0,p
2018-10-10 00:18,3.235,0.082,0,0,0,0,p
2018-10-10 00:24,3.232,0.066,1,0,0,0,p
2018-10-10 00:30,3.258,0.049,1,0,0,0,p
2018-10-10 00:36,3.251,0.052,1,0,0,0,p
2018-10-10 00:42,3.287,0.046,1,0,0,0,p
2018-10-10 00:48,3.258,0.056,1,0,0,0,p
2018-10-10 00:54,3.287,0.052,1,0,0,0,p
2018-10-10 01:00,3.310,0.046,0,0,0,0,p
2018-10-10 01:06,3.307,0.046,1,0,0,0,p
2018-10-10 01:12,3.297,0.049,1,0,0,0,p
2018-10-10 01:18,3.314,0.052,1,0,0,0,p
2018-10-10 01:24,3.310,0.043,1,0,0,0,p
2018-10-10 01:30,3.274,0.049,1,0,0,0,p
2018-10-10 01:36,3.297,0.046,1,0,0,0,p
2018-10-10 01:42,3.310,0.052,1,0,0,0,p
2018-10-10 01:48,3.301,0.052,1,0,0,0,p
2018-10-10 01:54,3.287,0.056,1,0,0,0,p
2018-10-10 02:00,3.333,0.052,1,0,0,0,p
2018-10-10 02:06,3.317,0.052,1,0,0,0,p
2018-10-10 02:12,3.330,0.056,1,0,0,0,p
2018-10-10 02:18,3.363,0.049,0,0,0,0,p
2018-10-10 02:24,3.346,0.052,1,0,0,0,p
2018-10-10 02:30,3.356,0.056,1,0,0,0,p
2018-10-10 02:36,3.376,0.059,0,0,0,0,p
2018-10-10 02:42,3.389,0.052,1,0,0,0,p
2018-10-10 02:48,3.356,0.052,1,0,0,0,p
2018-10-10 02:54,3.402,0.059,1,0,0,0,p
2018-10-10 03:00,3.373,0.062,1,0,0,0,p
