species	soil	water	fans	width	thick	leaf.length	curve	w.start	w.end	flower	relative.rhizome.growth	relative.fitness
I.mariae	rendzina	100	-1.424308795	-1.441832556	-0.234975081	-1.290787867	0.205266699	7.7	8.1	0	1.051948052	0.451595582
I.petrana	loess	100	0.021230786	0.116421262	-1.404994086	-0.116139654	-0.34782429	14.3	13.6	1	0.951048951	0.408280146
I.petrana	rendzina	100	0.021230786	-0.506880265	0.155031254	0.286286123	0.485023907	12.3	21.2	0	1.723577236	0.739922341
I.mariae	rendzina	100	1.466770366	-1.441832556	-0.234975081	-0.757845622	0.791927253	13.5	20.6	0	1.525925926	0.655071708
I.atropurpurea	rendzina	100	-0.942462268	-1.441832556	-1.209990919	0.623453665	-0.416475003	11.6	13.2	0	1.137931034	0.488507609
I.petrana	sand	100	-0.460615741	-1.75348332	-0.819984584	-0.137892399	-0.529217373	12.8	17.6	0	1.375	0.590280028
I.atropurpurea	sand	100	0.021230786	-1.130181792	-0.624981416	0.112264165	-0.594204382	9.3	15.3	0	1.64516129	0.706258802
I.mariae	rendzina	100	0.98492384	-0.818531029	-1.209990919	-2.356672357	2.29970628	8.6	12.2	0	1.418604651	0.608999268
I.atrofusca	loess	100	-0.942462268	0.116421262	-1.599997254	-1.171147771	-0.278495931	13	12.8	0	0.984615385	0.422690034
I.atrofusca	rendzina	100	0.503077313	0.73972279	-1.209990919	0.177522399	-0.745426649	10.7	15.3	0	1.429906542	0.613851108
I.petrana	rendzina	100	0.021230786	-0.506880265	0.350034421	-1.138518654	-0.441059782	10.6	15.1	1	1.424528302	0.611542259
I.atropurpurea	rendzina	100	-0.460615741	0.428072026	0.155031254	0.840981112	-0.600333041	13.6	19.2	0	1.411764706	0.606062916
I.atropurpurea	sand	100	0.98492384	-0.506880265	-1.014987751	0.340667984	-0.739057523	13.5	19.2	0	1.422222222	0.610552271
I.mariae	sand	100	0.021230786	-1.130181792	-0.624981416	-1.432180708	1.640771874	9.9	14.9	0	1.505050505	0.646110003
I.atrofusca	sand	100	-1.424308795	0.428072026	-0.429978249	0.927992091	-0.598348285	6.6	16.9	0	2.560606061	1.099254267
I.atrofusca	loess	100	-0.460615741	0.428072026	-0.039971914	0.525566314	-0.511930115	11.3	21.9	0	1.938053097	0.831995663
I.petrana	sand	100	-0.942462268	-1.75348332	-1.599997254	-0.736092878	-0.418799062	9.4	10.7	0	1.138297872	0.488665091
