storm_id,storm_name,year,doy,time,rectype,stormtype,lat,lng,wind,wind_k,press
AL011851,UNNAMED,1851,176,00:00,,HU,28.0N,94.8W,92.0624,80,NA
AL011851,UNNAMED,1851,176,06:00,,HU,28.0N,95.4W,92.0624,80,NA
AL011851,UNNAMED,1851,176,12:00,,HU,28.0N,96.0W,92.0624,80,NA
AL011851,UNNAMED,1851,176,18:00,,HU,28.1N,96.5W,92.0624,80,NA
AL011851,UNNAMED,1851,176,21:00,L,HU,28.2N,96.8W,92.0624,80,NA
AL011851,UNNAMED,1851,177,00:00,,HU,28.2N,97.0W,80.5546,70,NA
AL011851,UNNAMED,1851,177,06:00,,TS,28.3N,97.6W,69.04679999999999,60,NA
AL011851,UNNAMED,1851,177,12:00,,TS,28.4N,98.3W,69.04679999999999,60,NA
AL011851,UNNAMED,1851,177,18:00,,TS,28.6N,98.9W,57.538999999999994,50,NA
AL011851,UNNAMED,1851,178,00:00,,TS,29.0N,99.4W,57.538999999999994,50,NA
AL011851,UNNAMED,1851,178,06:00,,TS,29.5N,99.8W,46.0312,40,NA
AL011851,UNNAMED,1851,178,12:00,,TS,30.0N,100.0W,46.0312,40,NA
AL011851,UNNAMED,1851,178,18:00,,TS,30.5N,100.1W,46.0312,40,NA
AL011851,UNNAMED,1851,179,00:00,,TS,31.0N,100.2W,46.0312,40,NA
AL021851,UNNAMED,1851,186,12:00,,HU,22.2N,97.6W,92.0624,80,NA
AL031851,UNNAMED,1851,191,12:00,,TS,12.0N,60.0W,57.538999999999994,50,NA
AL041851,UNNAMED,1851,228,00:00,,TS,13.4N,48.0W,46.0312,40,NA
AL041851,UNNAMED,1851,228,06:00,,TS,13.7N,49.5W,46.0312,40,NA
AL041851,UNNAMED,1851,228,12:00,,TS,14.0N,51.0W,57.538999999999994,50,NA
AL041851,UNNAMED,1851,228,18:00,,TS,14.4N,52.8W,57.538999999999994,50,NA
AL041851,UNNAMED,1851,229,00:00,,TS,14.9N,54.6W,69.04679999999999,60,NA
AL041851,UNNAMED,1851,229,06:00,,TS,15.4N,56.5W,69.04679999999999,60,NA
AL041851,UNNAMED,1851,229,12:00,,HU,15.9N,58.5W,80.5546,70,NA
AL041851,UNNAMED,1851,229,18:00,,HU,16.1N,60.4W,80.5546,70,NA
AL041851,UNNAMED,1851,230,00:00,,HU,16.6N,62.5W,92.0624,80,NA
AL041851,UNNAMED,1851,230,06:00,,HU,16.9N,64.1W,92.0624,80,NA
AL041851,UNNAMED,1851,230,12:00,,HU,17.2N,66.0W,103.57019999999999,90,NA
AL041851,UNNAMED,1851,230,18:00,,HU,17.6N,67.6W,103.57019999999999,90,NA
AL041851,UNNAMED,1851,231,00:00,,HU,18.0N,69.3W,103.57019999999999,90,NA
AL041851,UNNAMED,1851,231,06:00,,HU,18.4N,71.1W,80.5546,70,NA
AL041851,UNNAMED,1851,231,12:00,,TS,18.9N,72.6W,69.04679999999999,60,NA
AL041851,UNNAMED,1851,231,18:00,,TS,19.4N,74.3W,69.04679999999999,60,NA
AL041851,UNNAMED,1851,232,00:00,,HU,19.9N,75.9W,80.5546,70,NA
AL041851,UNNAMED,1851,232,06:00,,HU,20.5N,77.6W,80.5546,70,NA
AL041851,UNNAMED,1851,232,12:00,,HU,21.2N,79.0W,80.5546,70,NA
AL041851,UNNAMED,1851,232,18:00,,HU,21.9N,80.4W,80.5546,70,NA
AL041851,UNNAMED,1851,233,00:00,,TS,22.6N,81.4W,69.04679999999999,60,NA
AL041851,UNNAMED,1851,233,06:00,,TS,23.2N,82.5W,69.04679999999999,60,NA
AL041851,UNNAMED,1851,233,12:00,,HU,23.9N,83.6W,80.5546,70,NA
AL041851,UNNAMED,1851,233,18:00,,HU,24.4N,84.3W,80.5546,70,NA
AL041851,UNNAMED,1851,234,00:00,,HU,25.0N,84.9W,92.0624,80,NA
AL041851,UNNAMED,1851,234,06:00,,HU,25.6N,85.5W,92.0624,80,NA
AL041851,UNNAMED,1851,234,12:00,,HU,26.2N,86.0W,103.57019999999999,90,NA
AL041851,UNNAMED,1851,234,18:00,,HU,26.8N,86.3W,103.57019999999999,90,NA
AL041851,UNNAMED,1851,235,00:00,,HU,27.4N,86.5W,115.07799999999999,100,NA
AL041851,UNNAMED,1851,235,06:00,,HU,28.0N,86.6W,115.07799999999999,100,NA
AL041851,UNNAMED,1851,235,12:00,,HU,28.5N,86.6W,115.07799999999999,100,NA
AL041851,UNNAMED,1851,235,18:00,,HU,29.6N,86.1W,115.07799999999999,100,NA
AL041851,UNNAMED,1851,235,21:00,L,HU,30.1N,85.7W,115.07799999999999,100,NA
AL041851,UNNAMED,1851,236,00:00,,HU,30.7N,85.1W,103.57019999999999,90,NA
AL041851,UNNAMED,1851,236,06:00,,HU,31.6N,84.1W,80.5546,70,NA
AL041851,UNNAMED,1851,236,12:00,,TS,32.5N,83.0W,69.04679999999999,60,NA
AL041851,UNNAMED,1851,236,18:00,,TS,33.4N,81.4W,57.538999999999994,50,NA
AL041851,UNNAMED,1851,237,00:00,,TS,34.0N,80.0W,46.0312,40,NA
AL041851,UNNAMED,1851,237,06:00,,TS,34.8N,78.6W,46.0312,40,NA
AL041851,UNNAMED,1851,237,12:00,,TS,35.8N,77.0W,46.0312,40,NA
AL041851,UNNAMED,1851,237,18:00,,TS,36.8N,75.1W,46.0312,40,NA
AL041851,UNNAMED,1851,238,00:00,,TS,37.8N,73.6W,46.0312,40,NA
AL041851,UNNAMED,1851,238,06:00,,TS,38.9N,71.8W,46.0312,40,NA
AL041851,UNNAMED,1851,238,12:00,,TS,40.0N,70.0W,46.0312,40,NA
AL041851,UNNAMED,1851,238,18:00,,TS,41.3N,66.8W,46.0312,40,NA
AL041851,UNNAMED,1851,239,00:00,,TS,42.8N,63.3W,46.0312,40,NA
AL041851,UNNAMED,1851,239,06:00,,TS,44.5N,60.2W,46.0312,40,NA
AL041851,UNNAMED,1851,239,12:00,,TS,46.4N,57.2W,46.0312,40,NA
AL041851,UNNAMED,1851,239,18:00,,TS,48.5N,54.2W,46.0312,40,NA
AL051851,UNNAMED,1851,256,00:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,256,06:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,256,12:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,256,18:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,257,00:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,257,06:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,257,12:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,257,18:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,258,00:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,258,06:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,258,12:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,258,18:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,259,00:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,259,06:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,259,12:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL051851,UNNAMED,1851,259,18:00,,TS,32.5N,73.5W,57.538999999999994,50,NA
AL061851,UNNAMED,1851,289,00:00,,TS,28.7N,78.0W,46.0312,40,NA
AL061851,UNNAMED,1851,289,06:00,,TS,29.1N,77.8W,46.0312,40,NA
AL061851,UNNAMED,1851,289,12:00,,TS,29.5N,77.5W,57.538999999999994,50,NA
AL061851,UNNAMED,1851,289,18:00,,TS,30.1N,77.1W,57.538999999999994,50,NA
AL061851,UNNAMED,1851,290,00:00,,TS,30.7N,76.6W,69.04679999999999,60,NA
AL061851,UNNAMED,1851,290,06:00,,TS,31.2N,76.3W,69.04679999999999,60,NA
AL061851,UNNAMED,1851,290,12:00,,TS,31.6N,75.9W,69.04679999999999,60,NA
AL061851,UNNAMED,1851,290,18:00,,TS,32.0N,75.5W,69.04679999999999,60,NA
AL061851,UNNAMED,1851,291,00:00,,TS,32.7N,74.9W,69.04679999999999,60,NA
AL061851,UNNAMED,1851,291,06:00,,TS,33.3N,74.3W,69.04679999999999,60,NA
AL061851,UNNAMED,1851,291,12:00,,TS,34.0N,73.8W,69.04679999999999,60,NA
AL061851,UNNAMED,1851,291,18:00,,TS,35.3N,73.0W,69.04679999999999,60,NA
AL061851,UNNAMED,1851,292,00:00,,TS,37.0N,72.6W,57.538999999999994,50,NA
AL061851,UNNAMED,1851,292,06:00,,TS,38.5N,72.1W,57.538999999999994,50,NA
AL061851,UNNAMED,1851,292,12:00,,TS,40.2N,71.8W,57.538999999999994,50,NA
AL061851,UNNAMED,1851,292,15:00,L,TS,41.1N,71.7W,57.538999999999994,50,NA
AL061851,UNNAMED,1851,292,18:00,,TS,42.0N,71.6W,46.0312,40,NA
AL011852,UNNAMED,1852,232,00:00,,TS,20.5N,67.1W,69.04679999999999,60,NA
AL011852,UNNAMED,1852,232,06:00,,TS,20.7N,68.0W,69.04679999999999,60,NA
AL011852,UNNAMED,1852,232,12:00,,TS,20.9N,68.8W,69.04679999999999,60,NA
AL011852,UNNAMED,1852,232,18:00,,TS,21.1N,69.6W,69.04679999999999,60,NA
AL011852,UNNAMED,1852,233,00:00,,HU,21.2N,70.6W,80.5546,70,NA
AL011852,UNNAMED,1852,233,06:00,,HU,21.5N,71.9W,80.5546,70,NA
AL011852,UNNAMED,1852,233,12:00,,HU,21.7N,73.0W,80.5546,70,NA
AL011852,UNNAMED,1852,233,18:00,,HU,21.9N,74.0W,80.5546,70,NA
AL011852,UNNAMED,1852,234,00:00,,HU,22.1N,74.9W,92.0624,80,NA
AL011852,UNNAMED,1852,234,06:00,,HU,22.2N,76.1W,92.0624,80,NA
AL011852,UNNAMED,1852,234,12:00,,HU,22.6N,77.1W,92.0624,80,NA
AL011852,UNNAMED,1852,234,18:00,,HU,22.9N,78.1W,92.0624,80,NA
AL011852,UNNAMED,1852,235,00:00,,HU,23.2N,79.3W,103.57019999999999,90,NA
AL011852,UNNAMED,1852,235,06:00,,HU,23.5N,80.1W,103.57019999999999,90,NA
AL011852,UNNAMED,1852,235,12:00,,HU,23.8N,81.1W,103.57019999999999,90,NA
AL011852,UNNAMED,1852,235,18:00,,HU,24.2N,82.1W,103.57019999999999,90,NA
AL011852,UNNAMED,1852,236,00:00,,HU,24.7N,83.1W,103.57019999999999,90,NA
AL011852,UNNAMED,1852,236,06:00,,HU,25.2N,83.9W,103.57019999999999,90,NA
AL011852,UNNAMED,1852,236,12:00,,HU,25.7N,84.6W,103.57019999999999,90,NA
AL011852,UNNAMED,1852,236,18:00,,HU,26.2N,85.3W,103.57019999999999,90,NA
AL011852,UNNAMED,1852,237,00:00,,HU,26.7N,86.0W,115.07799999999999,100,NA
AL011852,UNNAMED,1852,237,06:00,,HU,27.2N,86.6W,115.07799999999999,100,NA
AL011852,UNNAMED,1852,237,12:00,,HU,27.7N,87.1W,115.07799999999999,100,NA
AL011852,UNNAMED,1852,237,18:00,,HU,28.2N,87.5W,115.07799999999999,100,NA
AL011852,UNNAMED,1852,238,00:00,,HU,28.6N,87.8W,115.07799999999999,100,NA
AL011852,UNNAMED,1852,238,06:00,,HU,28.8N,88.0W,115.07799999999999,100,NA
AL011852,UNNAMED,1852,238,12:00,,HU,29.1N,88.2W,115.07799999999999,100,NA
AL011852,UNNAMED,1852,238,18:00,,HU,29.4N,88.4W,115.07799999999999,100,NA
AL011852,UNNAMED,1852,239,00:00,,HU,29.8N,88.6W,115.07799999999999,100,NA
AL011852,UNNAMED,1852,239,06:00,L,HU,30.2N,88.6W,115.07799999999999,100,961
AL011852,UNNAMED,1852,239,12:00,,HU,30.6N,88.5W,103.57019999999999,90,NA
AL011852,UNNAMED,1852,239,18:00,,HU,31.2N,88.1W,80.5546,70,NA
AL011852,UNNAMED,1852,240,00:00,,TS,31.8N,87.4W,57.538999999999994,50,NA
AL011852,UNNAMED,1852,240,06:00,,TS,32.3N,86.3W,46.0312,40,NA
AL011852,UNNAMED,1852,240,12:00,,TS,32.8N,84.8W,46.0312,40,NA
AL011852,UNNAMED,1852,240,18:00,,TS,33.2N,82.8W,46.0312,40,NA
AL011852,UNNAMED,1852,241,00:00,,TS,33.5N,80.5W,46.0312,40,NA
AL011852,UNNAMED,1852,241,06:00,,TS,33.8N,78.2W,46.0312,40,NA
AL011852,UNNAMED,1852,241,12:00,,TS,34.0N,76.0W,46.0312,40,NA
AL011852,UNNAMED,1852,241,18:00,,TS,34.4N,74.2W,46.0312,40,NA
AL011852,UNNAMED,1852,242,00:00,,TS,35.2N,72.8W,57.538999999999994,50,NA
AL011852,UNNAMED,1852,242,06:00,,TS,36.4N,71.8W,57.538999999999994,50,NA
AL011852,UNNAMED,1852,242,12:00,,TS,38.0N,70.8W,57.538999999999994,50,NA
AL011852,UNNAMED,1852,242,18:00,,TS,39.6N,69.6W,57.538999999999994,50,NA
AL011852,UNNAMED,1852,243,00:00,,TS,41.0N,68.0W,57.538999999999994,50,NA
AL021852,UNNAMED,1852,249,00:00,,HU,17.0N,64.1W,80.5546,70,NA
AL021852,UNNAMED,1852,249,06:00,,HU,17.4N,65.1W,80.5546,70,NA
AL021852,UNNAMED,1852,249,12:00,,HU,17.7N,66.1W,80.5546,70,NA
AL021852,UNNAMED,1852,249,18:00,,TS,18.2N,67.1W,69.04679999999999,60,NA
AL021852,UNNAMED,1852,250,00:00,,TS,18.6N,68.8W,69.04679999999999,60,NA
AL021852,UNNAMED,1852,250,06:00,,TS,19.2N,70.1W,57.538999999999994,50,NA
AL021852,UNNAMED,1852,250,12:00,,TS,19.5N,71.4W,46.0312,40,NA
AL021852,UNNAMED,1852,250,18:00,,TS,19.7N,72.5W,46.0312,40,NA
AL031852,UNNAMED,1852,253,00:00,,HU,26.4N,90.4W,80.5546,70,NA
AL031852,UNNAMED,1852,253,06:00,,HU,26.5N,89.6W,80.5546,70,NA
AL031852,UNNAMED,1852,253,12:00,,HU,26.6N,88.8W,80.5546,70,NA
AL031852,UNNAMED,1852,253,18:00,,HU,26.6N,88.1W,80.5546,70,NA
AL031852,UNNAMED,1852,254,00:00,,HU,26.8N,87.4W,80.5546,70,NA
AL031852,UNNAMED,1852,254,06:00,,HU,26.9N,86.6W,80.5546,70,NA
AL031852,UNNAMED,1852,254,12:00,,HU,27.1N,86.1W,80.5546,70,NA
AL031852,UNNAMED,1852,254,18:00,,HU,27.3N,85.6W,80.5546,70,NA
AL031852,UNNAMED,1852,255,00:00,,HU,27.5N,85.1W,80.5546,70,NA
AL031852,UNNAMED,1852,255,06:00,,HU,27.7N,84.6W,80.5546,70,NA
AL031852,UNNAMED,1852,255,12:00,,HU,27.8N,84.0W,80.5546,70,NA
AL031852,UNNAMED,1852,255,18:00,,HU,27.9N,83.4W,80.5546,70,NA
AL031852,UNNAMED,1852,256,00:00,L,HU,28.0N,82.8W,80.5546,70,NA
AL031852,UNNAMED,1852,256,06:00,,TS,28.1N,82.2W,69.04679999999999,60,NA
AL031852,UNNAMED,1852,256,12:00,,TS,28.2N,81.5W,57.538999999999994,50,NA
AL031852,UNNAMED,1852,256,18:00,,TS,28.5N,80.5W,57.538999999999994,50,NA
AL031852,UNNAMED,1852,257,00:00,,TS,29.2N,79.0W,69.04679999999999,60,NA
AL031852,UNNAMED,1852,257,06:00,,HU,30.4N,77.0W,80.5546,70,NA
AL031852,UNNAMED,1852,257,12:00,,HU,32.0N,74.5W,80.5546,70,NA
AL031852,UNNAMED,1852,257,18:00,,HU,34.0N,71.5W,80.5546,70,NA
AL041852,UNNAMED,1852,266,00:00,,TS,16.1N,58.5W,57.538999999999994,50,NA
AL041852,UNNAMED,1852,266,06:00,,TS,16.4N,59.1W,57.538999999999994,50,NA
AL041852,UNNAMED,1852,266,12:00,,TS,16.7N,59.7W,57.538999999999994,50,NA
AL041852,UNNAMED,1852,266,18:00,,TS,17.0N,60.3W,57.538999999999994,50,NA
AL041852,UNNAMED,1852,267,00:00,,TS,17.4N,61.2W,69.04679999999999,60,NA
AL041852,UNNAMED,1852,267,06:00,,TS,17.7N,62.2W,69.04679999999999,60,NA
AL041852,UNNAMED,1852,267,12:00,,HU,18.1N,63.1W,80.5546,70,NA
AL041852,UNNAMED,1852,267,18:00,,HU,18.4N,63.7W,80.5546,70,NA
AL041852,UNNAMED,1852,268,00:00,,HU,18.7N,64.3W,80.5546,70,NA
AL041852,UNNAMED,1852,268,06:00,,HU,18.9N,65.0W,80.5546,70,NA
AL041852,UNNAMED,1852,268,12:00,,HU,19.1N,65.8W,80.5546,70,NA
AL041852,UNNAMED,1852,268,18:00,,HU,19.2N,66.6W,80.5546,70,NA
AL041852,UNNAMED,1852,269,00:00,,HU,19.5N,67.4W,92.0624,80,NA
AL041852,UNNAMED,1852,269,06:00,,HU,19.7N,68.1W,92.0624,80,NA
AL041852,UNNAMED,1852,269,12:00,,HU,19.9N,68.8W,92.0624,80,NA
AL041852,UNNAMED,1852,269,18:00,,HU,20.0N,69.6W,92.0624,80,NA
AL041852,UNNAMED,1852,270,00:00,,HU,20.1N,70.3W,92.0624,80,NA
AL041852,UNNAMED,1852,270,06:00,,HU,20.4N,70.9W,92.0624,80,NA
AL041852,UNNAMED,1852,270,12:00,,HU,20.7N,71.6W,92.0624,80,NA
AL041852,UNNAMED,1852,270,18:00,,HU,21.0N,72.1W,92.0624,80,NA
AL041852,UNNAMED,1852,271,00:00,,HU,21.4N,73.0W,92.0624,80,NA
AL041852,UNNAMED,1852,271,06:00,,HU,21.9N,73.6W,92.0624,80,NA
AL041852,UNNAMED,1852,271,12:00,,HU,22.5N,74.0W,92.0624,80,NA
AL041852,UNNAMED,1852,271,18:00,,HU,23.2N,74.4W,92.0624,80,NA
AL041852,UNNAMED,1852,272,00:00,,HU,23.9N,74.6W,92.0624,80,NA
AL041852,UNNAMED,1852,272,06:00,,HU,24.6N,74.6W,92.0624,80,NA
AL041852,UNNAMED,1852,272,12:00,,HU,25.4N,74.5W,92.0624,80,NA
AL041852,UNNAMED,1852,272,18:00,,HU,26.5N,74.0W,92.0624,80,NA
AL041852,UNNAMED,1852,273,00:00,,HU,27.4N,73.5W,92.0624,80,NA
AL041852,UNNAMED,1852,273,06:00,,HU,28.2N,72.9W,92.0624,80,NA
AL041852,UNNAMED,1852,273,12:00,,HU,29.0N,72.3W,92.0624,80,NA
AL041852,UNNAMED,1852,273,18:00,,HU,30.2N,71.5W,92.0624,80,NA
AL041852,UNNAMED,1852,274,00:00,,HU,31.6N,70.5W,80.5546,70,NA
AL041852,UNNAMED,1852,274,06:00,,HU,32.7N,69.6W,80.5546,70,NA
AL041852,UNNAMED,1852,274,12:00,,HU,33.8N,69.1W,80.5546,70,NA
AL041852,UNNAMED,1852,274,18:00,,HU,34.9N,68.6W,80.5546,70,NA
AL051852,UNNAMED,1852,280,00:00,,HU,17.0N,73.8W,103.57019999999999,90,NA
AL051852,UNNAMED,1852,280,06:00,,HU,17.1N,75.0W,103.57019999999999,90,NA
AL051852,UNNAMED,1852,280,12:00,,HU,17.2N,76.3W,103.57019999999999,90,NA
AL051852,UNNAMED,1852,280,18:00,,HU,17.2N,77.8W,103.57019999999999,90,NA
