"FL_DATE","OP_UNIQUE_CARRIER","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEP_TIME","DEP_DELAY_NEW","DEP_DEL15","ARR_TIME","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","CANCELLATION_CODE","DIVERTED","AIR_TIME","FLIGHTS","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2018-05-01,"EV","ICT","Wichita, KS","KS","ORD","Chicago, IL","IL","1440",0.00,0.00,"1628",0.00,0.00,0.00,"",0.00,87.00,1.00,588.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","PVD","Providence, RI","RI","1049",0.00,0.00,"1150",0.00,0.00,0.00,"",0.00,34.00,1.00,160.00,,,,,,
2018-05-01,"EV","AMA","Amarillo, TX","TX","IAH","Houston, TX","TX","1646",0.00,0.00,"1819",0.00,0.00,0.00,"",0.00,77.00,1.00,517.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","MKE","Milwaukee, WI","WI","1951",0.00,0.00,"2221",0.00,0.00,0.00,"",0.00,127.00,1.00,984.00,,,,,,
2018-05-01,"EV","BWI","Baltimore, MD","MD","EWR","Newark, NJ","NJ","0546",0.00,0.00,"0654",0.00,0.00,0.00,"",0.00,42.00,1.00,169.00,,,,,,
2018-05-01,"EV","LEX","Lexington, KY","KY","IAH","Houston, TX","TX","0659",0.00,0.00,"0838",0.00,0.00,0.00,"",0.00,138.00,1.00,828.00,,,,,,
2018-05-01,"EV","CLE","Cleveland, OH","OH","DCA","Washington, DC","VA","2148",78.00,1.00,"2254",60.00,1.00,0.00,"",0.00,48.00,1.00,310.00,0.00,0.00,0.00,0.00,60.00,
2018-05-01,"EV","LGA","New York, NY","NY","CLE","Cleveland, OH","OH","1523",0.00,0.00,"1720",0.00,0.00,0.00,"",0.00,65.00,1.00,419.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","JAN","Jackson/Vicksburg, MS","MS","1640",0.00,0.00,"1754",0.00,0.00,0.00,"",0.00,56.00,1.00,351.00,,,,,,
2018-05-01,"EV","CRP","Corpus Christi, TX","TX","IAH","Houston, TX","TX","1548",0.00,0.00,"1642",0.00,0.00,0.00,"",0.00,36.00,1.00,201.00,,,,,,
2018-05-01,"EV","CRW","Charleston/Dunbar, WV","WV","IAH","Houston, TX","TX","1835",0.00,0.00,"2027",0.00,0.00,0.00,"",0.00,148.00,1.00,975.00,,,,,,
2018-05-01,"EV","BWI","Baltimore, MD","MD","EWR","Newark, NJ","NJ","2005",35.00,1.00,"2134",45.00,1.00,0.00,"",0.00,45.00,1.00,169.00,0.00,0.00,45.00,0.00,0.00,
2018-05-01,"EV","CLE","Cleveland, OH","OH","BOS","Boston, MA","MA","0715",10.00,0.00,"0900",6.00,0.00,0.00,"",0.00,85.00,1.00,563.00,,,,,,
2018-05-01,"EV","LGA","New York, NY","NY","CLE","Cleveland, OH","OH","0617",0.00,0.00,"0741",0.00,0.00,0.00,"",0.00,63.00,1.00,419.00,,,,,,
2018-05-01,"EV","DCA","Washington, DC","VA","EWR","Newark, NJ","NJ","2112",42.00,1.00,"2249",50.00,1.00,0.00,"",0.00,47.00,1.00,199.00,0.00,0.00,50.00,0.00,0.00,
2018-05-01,"EV","IAH","Houston, TX","TX","MOB","Mobile, AL","AL","2120",0.00,0.00,"2231",0.00,0.00,0.00,"",0.00,59.00,1.00,427.00,,,,,,
2018-05-01,"EV","TUL","Tulsa, OK","OK","IAH","Houston, TX","TX","1851",0.00,0.00,"2029",0.00,0.00,0.00,"",0.00,78.00,1.00,429.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","GPT","Gulfport/Biloxi, MS","MS","2127",0.00,0.00,"2244",0.00,0.00,0.00,"",0.00,53.00,1.00,376.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","LEX","Lexington, KY","KY","2026",46.00,1.00,"2331",26.00,1.00,0.00,"",0.00,107.00,1.00,828.00,24.00,0.00,0.00,0.00,2.00,
2018-05-01,"EV","CLE","Cleveland, OH","OH","MKE","Milwaukee, WI","WI","0608",0.00,0.00,"0639",0.00,0.00,0.00,"",0.00,66.00,1.00,328.00,,,,,,
2018-05-01,"EV","TUL","Tulsa, OK","OK","IAH","Houston, TX","TX","0907",0.00,0.00,"1043",0.00,0.00,0.00,"",0.00,70.00,1.00,429.00,,,,,,
2018-05-01,"EV","SYR","Syracuse, NY","NY","EWR","Newark, NJ","NJ","1940",0.00,0.00,"2059",0.00,0.00,0.00,"",0.00,40.00,1.00,195.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","CAK","Akron, OH","OH","1453",0.00,0.00,"1620",0.00,0.00,0.00,"",0.00,61.00,1.00,382.00,,,,,,
2018-05-01,"EV","CAK","Akron, OH","OH","EWR","Newark, NJ","NJ","0550",0.00,0.00,"0720",0.00,0.00,0.00,"",0.00,69.00,1.00,382.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","CMH","Columbus, OH","OH","1035",0.00,0.00,"1219",0.00,0.00,0.00,"",0.00,71.00,1.00,463.00,,,,,,
2018-05-01,"EV","TYS","Knoxville, TN","TN","ORD","Chicago, IL","IL","0820",0.00,0.00,"0908",0.00,0.00,0.00,"",0.00,79.00,1.00,475.00,,,,,,
2018-05-01,"EV","MSN","Madison, WI","WI","EWR","Newark, NJ","NJ","0611",0.00,0.00,"0933",0.00,0.00,0.00,"",0.00,118.00,1.00,799.00,,,,,,
2018-05-01,"EV","AEX","Alexandria, LA","LA","IAH","Houston, TX","TX","1543",0.00,0.00,"1646",0.00,0.00,0.00,"",0.00,44.00,1.00,190.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","CMH","Columbus, OH","OH","1414",0.00,0.00,"1545",0.00,0.00,0.00,"",0.00,70.00,1.00,463.00,,,,,,
2018-05-01,"EV","LCH","Lake Charles, LA","LA","IAH","Houston, TX","TX","0551",0.00,0.00,"0636",0.00,0.00,0.00,"",0.00,26.00,1.00,127.00,,,,,,
2018-05-01,"EV","HOB","Hobbs, NM","NM","IAH","Houston, TX","TX","1357",0.00,0.00,"1617",0.00,0.00,0.00,"",0.00,69.00,1.00,501.00,,,,,,
2018-05-01,"EV","ORD","Chicago, IL","IL","DSM","Des Moines, IA","IA","1923",0.00,0.00,"2045",0.00,0.00,0.00,"",0.00,50.00,1.00,299.00,,,,,,
2018-05-01,"EV","CLE","Cleveland, OH","OH","LGA","New York, NY","NY","1621",33.00,1.00,"1744",14.00,0.00,0.00,"",0.00,68.00,1.00,419.00,,,,,,
2018-05-01,"EV","PNS","Pensacola, FL","FL","IAH","Houston, TX","TX","1148",0.00,0.00,"1336",0.00,0.00,0.00,"",0.00,89.00,1.00,489.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","BWI","Baltimore, MD","MD","2144",0.00,0.00,"2234",0.00,0.00,0.00,"",0.00,32.00,1.00,169.00,,,,,,
2018-05-01,"EV","OMA","Omaha, NE","NE","IAH","Houston, TX","TX","1440",0.00,0.00,"1700",0.00,0.00,0.00,"",0.00,115.00,1.00,781.00,,,,,,
2018-05-01,"EV","MEM","Memphis, TN","TN","EWR","Newark, NJ","NJ","1748",38.00,1.00,"2125",28.00,1.00,0.00,"",0.00,140.00,1.00,946.00,0.00,0.00,28.00,0.00,0.00,
2018-05-01,"EV","MKE","Milwaukee, WI","WI","CLE","Cleveland, OH","OH","1917",102.00,1.00,"2127",98.00,1.00,0.00,"",0.00,49.00,1.00,328.00,0.00,0.00,0.00,0.00,98.00,
2018-05-01,"EV","EWR","Newark, NJ","NJ","CHA","Chattanooga, TN","TN","0855",0.00,0.00,"1114",0.00,0.00,0.00,"",0.00,94.00,1.00,718.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","CAK","Akron, OH","OH","1905",0.00,0.00,"2032",0.00,0.00,0.00,"",0.00,61.00,1.00,382.00,,,,,,
2018-05-01,"EV","CAK","Akron, OH","OH","EWR","Newark, NJ","NJ","1852",97.00,1.00,"2028",86.00,1.00,0.00,"",0.00,64.00,1.00,382.00,0.00,0.00,86.00,0.00,0.00,
2018-05-01,"EV","DCA","Washington, DC","VA","CLE","Cleveland, OH","OH","2032",0.00,0.00,"2156",0.00,0.00,0.00,"",0.00,52.00,1.00,310.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","GPT","Gulfport/Biloxi, MS","MS","1216",0.00,0.00,"1326",0.00,0.00,0.00,"",0.00,56.00,1.00,376.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","BNA","Nashville, TN","TN","0800",24.00,1.00,"0909",0.00,0.00,0.00,"",0.00,106.00,1.00,748.00,,,,,,
2018-05-01,"EV","TYS","Knoxville, TN","TN","IAH","Houston, TX","TX","0712",0.00,0.00,"0843",0.00,0.00,0.00,"",0.00,122.00,1.00,771.00,,,,,,
2018-05-01,"EV","ORD","Chicago, IL","IL","TYS","Knoxville, TN","TN","1814",0.00,0.00,"2054",1.00,0.00,0.00,"",0.00,67.00,1.00,475.00,,,,,,
2018-05-01,"EV","ICT","Wichita, KS","KS","IAH","Houston, TX","TX","0635",0.00,0.00,"0811",0.00,0.00,0.00,"",0.00,79.00,1.00,542.00,,,,,,
2018-05-01,"EV","ORD","Chicago, IL","IL","RIC","Richmond, VA","VA","2113",8.00,0.00,"0014",3.00,0.00,0.00,"",0.00,91.00,1.00,642.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","GRK","Killeen, TX","TX","1004",0.00,0.00,"1104",0.00,0.00,0.00,"",0.00,40.00,1.00,166.00,,,,,,
2018-05-01,"EV","CLL","College Station/Bryan, TX","TX","IAH","Houston, TX","TX","0559",0.00,0.00,"0639",0.00,0.00,0.00,"",0.00,18.00,1.00,74.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","LFT","Lafayette, LA","LA","1415",0.00,0.00,"1511",0.00,0.00,0.00,"",0.00,36.00,1.00,201.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","CHA","Chattanooga, TN","TN","2041",0.00,0.00,"2240",0.00,0.00,0.00,"",0.00,98.00,1.00,718.00,,,,,,
2018-05-01,"EV","DSM","Des Moines, IA","IA","ORD","Chicago, IL","IL","1434",156.00,1.00,"1609",169.00,1.00,0.00,"",0.00,54.00,1.00,299.00,13.00,0.00,154.00,0.00,2.00,
2018-05-01,"EV","ECP","Panama City, FL","FL","IAH","Houston, TX","TX","1437",0.00,0.00,"1641",0.00,0.00,0.00,"",0.00,102.00,1.00,572.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","DCA","Washington, DC","VA","1236",0.00,0.00,"1342",0.00,0.00,0.00,"",0.00,41.00,1.00,199.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","CMH","Columbus, OH","OH","0636",0.00,0.00,"0813",0.00,0.00,0.00,"",0.00,72.00,1.00,463.00,,,,,,
2018-05-01,"EV","CLE","Cleveland, OH","OH","EWR","Newark, NJ","NJ","1447",27.00,1.00,"1646",42.00,1.00,0.00,"",0.00,71.00,1.00,404.00,0.00,0.00,15.00,0.00,27.00,
2018-05-01,"EV","IND","Indianapolis, IN","IN","EWR","Newark, NJ","NJ","1145",0.00,0.00,"1355",0.00,0.00,0.00,"",0.00,98.00,1.00,645.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","AMA","Amarillo, TX","TX","1426",0.00,0.00,"1600",0.00,0.00,0.00,"",0.00,77.00,1.00,517.00,,,,,,
2018-05-01,"EV","ICT","Wichita, KS","KS","IAH","Houston, TX","TX","1130",0.00,0.00,"1314",0.00,0.00,0.00,"",0.00,83.00,1.00,542.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","XNA","Fayetteville, AR","AR","1955",0.00,0.00,"2117",0.00,0.00,0.00,"",0.00,62.00,1.00,438.00,,,,,,
2018-05-01,"EV","PNS","Pensacola, FL","FL","IAH","Houston, TX","TX","1400",0.00,0.00,"1550",0.00,0.00,0.00,"",0.00,91.00,1.00,489.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","ROC","Rochester, NY","NY","0816",0.00,0.00,"0938",0.00,0.00,0.00,"",0.00,48.00,1.00,246.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","LBB","Lubbock, TX","TX","2130",0.00,0.00,"2301",0.00,0.00,0.00,"",0.00,71.00,1.00,458.00,,,,,,
2018-05-01,"EV","SHV","Shreveport, LA","LA","IAH","Houston, TX","TX","1547",0.00,0.00,"1707",2.00,0.00,0.00,"",0.00,66.00,1.00,192.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","HSV","Huntsville, AL","AL","2126",0.00,0.00,"2309",0.00,0.00,0.00,"",0.00,81.00,1.00,595.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","BHM","Birmingham, AL","AL","1149",0.00,0.00,"1330",0.00,0.00,0.00,"",0.00,78.00,1.00,562.00,,,,,,
2018-05-01,"EV","CLE","Cleveland, OH","OH","LGA","New York, NY","NY","1255",0.00,0.00,"1425",0.00,0.00,0.00,"",0.00,68.00,1.00,419.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","DCA","Washington, DC","VA","0556",0.00,0.00,"0711",0.00,0.00,0.00,"",0.00,38.00,1.00,199.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","LFT","Lafayette, LA","LA","1810",0.00,0.00,"1907",0.00,0.00,0.00,"",0.00,34.00,1.00,201.00,,,,,,
2018-05-01,"EV","BOS","Boston, MA","MA","CLE","Cleveland, OH","OH","2158",108.00,1.00,"2358",98.00,1.00,0.00,"",0.00,87.00,1.00,563.00,0.00,0.00,0.00,0.00,98.00,
2018-05-01,"EV","IAH","Houston, TX","TX","LCH","Lake Charles, LA","LA","1625",0.00,0.00,"1708",0.00,0.00,0.00,"",0.00,25.00,1.00,127.00,,,,,,
2018-05-01,"EV","JAN","Jackson/Vicksburg, MS","MS","IAH","Houston, TX","TX","1146",0.00,0.00,"1318",0.00,0.00,0.00,"",0.00,71.00,1.00,351.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","IND","Indianapolis, IN","IN","1612",12.00,0.00,"1815",0.00,0.00,0.00,"",0.00,92.00,1.00,645.00,,,,,,
2018-05-01,"EV","IND","Indianapolis, IN","IN","EWR","Newark, NJ","NJ","1900",10.00,0.00,"2110",11.00,0.00,0.00,"",0.00,92.00,1.00,645.00,,,,,,
2018-05-01,"EV","CHA","Chattanooga, TN","TN","EWR","Newark, NJ","NJ","0630",0.00,0.00,"0840",0.00,0.00,0.00,"",0.00,106.00,1.00,718.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","GRK","Killeen, TX","TX","1427",0.00,0.00,"1538",0.00,0.00,0.00,"",0.00,42.00,1.00,166.00,,,,,,
2018-05-01,"EV","LFT","Lafayette, LA","LA","IAH","Houston, TX","TX","0958",0.00,0.00,"1110",0.00,0.00,0.00,"",0.00,54.00,1.00,201.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","CLL","College Station/Bryan, TX","TX","2135",0.00,0.00,"2209",0.00,0.00,0.00,"",0.00,18.00,1.00,74.00,,,,,,
2018-05-01,"EV","EWR","Newark, NJ","NJ","BWI","Baltimore, MD","MD","1043",0.00,0.00,"1141",0.00,0.00,0.00,"",0.00,32.00,1.00,169.00,,,,,,
2018-05-01,"EV","IAH","Houston, TX","TX","LFT","Lafayette, LA","LA","1015",0.00,0.00,"1111",0.00,0.00,0.00,"",0.00,37.00,1.00,201.00,,,,,,
